paper_id,packet_status,requires_reconciliation,quality_score,study_units,results,claims,core_accepted_claims,deferred_claims,excluded_invalid_claims,supports_edges,relation_candidates,evidence_spans,validation_warnings,packet_sha256
1_1,provisional,true,0.8890,1,9,6,0,6,0,0,9,21,2,sha256:ed2683e0b870d9c5bf47ac2ca164f14e06a21aab6a1d1783b6c28d24f07c6768
1_10,provisional,true,0.8443,1,6,4,0,3,1,0,5,12,1,sha256:74b6ba2afde21777602e69456273d9251bb4779b722e18e1cb5d72930a52f380
1_11,provisional,true,0.8827,1,15,7,0,2,5,0,6,27,2,sha256:357efc371d3bc50a4c0b9b6dd0c5308eece97d65c7590d43acd922176de27dfd
1_12,accepted,false,0.8935,2,7,2,2,0,0,3,0,10,0,sha256:e5a7b0137970c169dfb55b1e703c36b0e8289b1aa686647f99e869bf5d19e31b
1_13,provisional,true,0.7236,3,4,6,0,2,4,0,2,13,2,sha256:6b5999f8fa12e99980ceb7feee09245cf54f9450f71d31504508b6c5a966cbbf
1_15,provisional,true,0.9087,6,12,6,0,6,0,0,7,19,7,sha256:1690b168c7617bfe15cc555097b063d6b8827ff162978a48b9e6cf91079cdcbc
1_16,provisional,true,0.9364,1,10,5,0,5,0,0,18,15,1,sha256:65fab171f37943ffc5bdfb731768bc4b82e90a2afa5efb5dbed205ac70848ae5
1_17,provisional,true,0.8992,1,19,3,0,2,1,0,13,22,3,sha256:44242528feacb64a70d3712e8e055c51563803e0718bbb7c4337097b3ad7e335
1_18,provisional,true,0.9378,8,15,11,0,10,1,0,14,26,4,sha256:9bb30b10f7797ad497f300f6cc355ba1cf5e6a47b75ee976c9dc470afedd14e0
1_19,provisional,true,0.8727,2,9,2,0,2,0,0,6,11,1,sha256:629b2924753be72ea44b312e7677e978cabdbc96876d558ddedc95fcb8a33bf0
1_2,provisional,true,0.9620,2,9,4,0,4,0,0,8,13,1,sha256:5cbff2a8d4b36a30a27b2763fc564954cdbd4427d33935254ef7cc3dbb639239
1_20,provisional,true,0.8897,2,14,5,0,4,1,0,5,23,1,sha256:6c54475da25679bf5fdd0af47c72d3fe70596b23bd8f74634026f8b053f1cc88
1_3,accepted,false,0.9138,1,14,5,5,0,0,12,0,19,0,sha256:de0f1cc07e421a6dafa48a7c73558e64115feddff4e2ab5018d1da84a807406a
1_4,provisional,true,0.9252,4,12,7,0,6,1,0,13,19,6,sha256:b29ae9f76364ed92a641ddedbd9b1ba0eb6697489e7c2bb51a74217207ee5fa0
1_5,provisional,true,0.9344,1,3,2,0,2,0,0,5,6,2,sha256:39f42ce9dce0f5df9fcf4037c8f03f7bd0a85ef9f2def581744dc933b95e691a
1_6,accepted,false,0.8399,1,5,4,3,0,1,4,0,10,0,sha256:9440b6351f7a03cd539bc8df0dc312adfca09f400776be9cad36b4eef7eda8f5
1_7,provisional,true,0.8982,1,8,5,0,5,0,0,6,13,1,sha256:4ae1951f75dcf830e308ce33d28d58ed41642001ca18ca709f4135ee08717870
1_8,provisional,true,0.8727,1,9,3,0,3,0,0,9,12,5,sha256:e46625b6140179ee14bc3f82d447f4810f4ca9ab3113b6db56266f863449a17f
1_9,provisional,true,0.9305,1,13,4,0,4,0,0,19,20,2,sha256:7fe59638fe568aa4d2b0ed390a9e9a3e279501afe87b5e43956de04696a33b64
