batch_number,position_in_batch,planned_batch_number,planned_position_in_batch,execution_moved,paper_id,role,anchor_paper_id,skeleton_similarity_ppm,conflict_signal_overlap,run_status,quality_score,batch_succeeded,batch_failed,extracted_finding_count
1,1,1,1,false,1_20,seed_medoid,1_20,1000000,0,succeeded,0.8897,3,0,9
1,2,1,2,false,1_6,seed_medoid,1_6,1000000,0,succeeded,0.8399,3,0,9
1,3,1,3,false,1_13,seed_medoid,1_13,1000000,0,succeeded,0.7236,3,0,9
2,1,2,1,false,1_8,seed_medoid,1_8,1000000,0,succeeded,0.8727,2,0,6
2,2,2,2,false,1_7,seed_medoid,1_7,1000000,0,succeeded,0.8982,2,0,6
3,1,3,1,false,1_1,skeleton_neighbor,1_20,923146,2,succeeded,0.889,3,0,8
3,2,3,2,false,1_12,conflict_interleave,1_20,230377,4,succeeded,0.8935,3,0,8
3,3,3,3,false,1_4,skeleton_neighbor,1_20,897784,3,succeeded,0.9252,3,0,8
4,1,4,1,false,1_19,conflict_interleave,1_6,681153,3,succeeded,0.8727,2,1,5
4,2,4,2,false,1_16,skeleton_neighbor,1_6,960915,3,succeeded,0.9364,2,1,5
5,1,5,1,false,1_18,skeleton_neighbor,1_13,909938,2,succeeded,0.9378,3,0,9
5,2,5,2,false,1_2,conflict_interleave,1_13,623346,4,succeeded,0.962,3,0,9
5,3,5,3,false,1_11,skeleton_neighbor,1_13,921017,3,succeeded,0.8827,3,0,9
6,1,6,1,false,1_15,conflict_interleave,1_8,222809,3,succeeded,0.9087,3,0,9
6,2,6,2,false,1_3,skeleton_neighbor,1_8,939543,2,succeeded,0.9138,3,0,9
6,3,6,3,false,1_17,conflict_interleave,1_8,527413,2,succeeded,0.8992,3,0,9
7,1,7,1,false,1_10,skeleton_neighbor,1_7,597366,3,succeeded,0.8443,2,0,6
7,2,7,2,false,1_9,conflict_interleave,1_7,888828,2,succeeded,0.9305,2,0,6
8,1,4,3,true,1_5,conflict_interleave,1_6,883770,5,succeeded,0.9344,1,0,2
