paper_id,batch_number,position_in_batch,status,quality_score,quality_passed,packet_status,requires_reconciliation,admitted_provisionally,warning_codes,failed_stage,error_type,error_message
1_20,1,1,succeeded,0.8897,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.claims_without_evidence,,,
1_6,1,2,succeeded,0.8399,true,accepted,false,false,coverage.not_selected_chunks | coverage.unused_extracted_chunks | provenance.paraphrased_only | structure.claims_without_evidence,,,
1_13,1,3,succeeded,0.7236,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.claims_without_evidence | structure.units_without_results,,,
1_8,2,1,succeeded,0.8727,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.duplicate_method_id_renamed | extraction.flat_fallback | extraction.provenance_page_range_corrected | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only,,,
1_7,2,2,succeeded,0.8982,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.flat_fallback | provenance.paraphrased_only,,,
1_1,3,1,succeeded,0.889,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only,,,
1_12,3,2,succeeded,0.8935,true,accepted,false,false,coverage.not_selected_chunks | coverage.unused_extracted_chunks | provenance.paraphrased_only,,,
1_4,3,3,succeeded,0.9252,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.claims_without_evidence,,,
1_19,4,1,succeeded,0.8727,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only,,,
1_16,4,2,succeeded,0.9364,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only,,,
1_5,8,1,succeeded,0.9344,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only,,,
1_18,5,1,succeeded,0.9378,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.claims_without_evidence,,,
1_2,5,2,succeeded,0.962,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only,,,
1_11,5,3,succeeded,0.8827,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.claims_without_evidence,,,
1_15,6,1,succeeded,0.9087,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_page_range_corrected | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.units_without_claims,,,
1_3,6,2,succeeded,0.9138,true,accepted,false,false,coverage.not_selected_chunks | coverage.unused_extracted_chunks,,,
1_17,6,3,succeeded,0.8992,true,provisional,true,true,coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.claims_without_evidence,,,
1_10,7,1,succeeded,0.8443,true,provisional,true,true,boundaries.too_few | coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only | structure.claims_without_evidence,,,
1_9,7,2,succeeded,0.9305,true,provisional,true,true,boundaries.too_few | coverage.not_selected_chunks | coverage.unused_extracted_chunks | extraction.provenance_paraphrase_corrected | provenance.paraphrased_only,,,
