horizon,group,paper_id,source_pdf,source_sha256,output_json,output_sha256,schema_version,packet_status,quality_score,precision,recall,source_chunks,selected_chunks,delivery_phase,recovery_attempt,model,report_record
long,1,1_1,data/formal_corpus/long/1/1_1.pdf,9e333c6d3cc2883d17b2df4eea75a355ff973bd18f5988341094c694324cc790,data/formal_outputs/2_2_version_228/long/1/1_1.json,99368503561a37ae69bcd0aee1f78bfafb4dbbdcdfc3211f18f1a8c6a23f82e4,2.2,accepted,1.0,1.0,1.0,32,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_2,data/formal_corpus/long/1/1_2.pdf,5d75db9a958c808a49a93cdaea818ef257430a32e2264ded4d693d216d9980e4,data/formal_outputs/2_2_version_228/long/1/1_2.json,228df5c706f74a489c8ddb96a113e6ca6e4a72f37f0bf06104815cb01bce5ca9,2.2,accepted,1.0,1.0,1.0,10,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_3,data/formal_corpus/long/1/1_3.pdf,d0ac01d1a16caec555b28339e6530b7efd4d5cea869f9ea6558b5125113662c3,data/formal_outputs/2_2_version_228/long/1/1_3.json,cd98966c94562e54b9b9cf021ea244d36203086c187b84835ef1d2feb4479c4d,2.2,accepted,1.0,1.0,1.0,21,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_4,data/formal_corpus/long/1/1_4.pdf,902df4c7f7ead1917eca08e8062d0cf8873620880dc00347ef711b5c4cec1bcd,data/formal_outputs/2_2_version_228/long/1/1_4.json,7d12fad80f57e62edd57f651f0a7cf192c4ce144afaa84de3bddd2af843ad8a0,2.2,accepted,1.0,1.0,1.0,15,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_5,data/formal_corpus/long/1/1_5.pdf,b7760838427b9a60f1f1319bcfbeef42b71511b4858defb4d922508cc247c224,data/formal_outputs/2_2_version_228/long/1/1_5.json,dacd779610dc476999bfbd52493361c40e277a336ea3b0be254ee04908a84a71,2.2,accepted,1.0,1.0,1.0,10,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_6,data/formal_corpus/long/1/1_6.pdf,7b86ba796307b4b4bb68d93a940a1785581776fa0a50312661d21f679a4c9c91,data/formal_outputs/2_2_version_228/long/1/1_6.json,a92b1e6e3551d6e27e1c88ecd98722035ec187c1b791988452bb4cda6d274bb4,2.2,accepted,0.9298,0.9815,0.8833,21,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_7,data/formal_corpus/long/1/1_7.pdf,9082a03a215f000c431a6cc726909f3122a22eb59985d729b3ed23fabc301dde,data/formal_outputs/2_2_version_228/long/1/1_7.json,8d51a0bbefe26a6fc714352f4c12dee8a90d528dccf0c474ee85791a55fb63b7,2.2,accepted,1.0,1.0,1.0,19,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_8,data/formal_corpus/long/1/1_8.pdf,13ba4d9f8557d30a36503e31cb4759295777b2f97da139ee3497668b597bb9df,data/formal_outputs/2_2_version_228/long/1/1_8.json,ddb6b65652bba4dde5854798c7a1aea500f60c10a0569f74c620da13f92fec92,2.2,accepted,1.0,1.0,1.0,21,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
long,1,1_9,data/formal_corpus/long/1/1_9.pdf,73f9d2e2a7abfe9c7107318d0cb17d12c91d26b04162688202cad0ac7101a824,data/formal_outputs/2_2_version_228/long/1/1_9.json,461253b4d847bb9c9e3a27beff5a7c3f8b7eda4b8850ef991c02d774cbedf6c0,2.2,accepted,0.7629,0.74,0.7872,12,8,recovery,3,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/recovery/long/1/1_9/attempt_3/papers.jsonl
long,1,1_10,data/formal_corpus/long/1/1_10.pdf,2f45808af35d249e1cfdcd1f404d9d2c09a018a24c8fb9c66cac71e960282397,data/formal_outputs/2_2_version_228/long/1/1_10.json,0b13a13ca8d6737732af345f150bc3548b3b551c57a244cf6f4bc894022a3d16,2.2,accepted,0.8817,0.9318,0.8367,15,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/1/papers.jsonl
