paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
1_1,succeeded,1.0,1.0,1.0,0.9042,0,0,57400,7968,65368,0.03190116,95.579578,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_1.json,,
1_10,succeeded,0.8817,0.9318,0.8367,0.8929,3,8,35034,6436,41470,0.02083911,60.673597,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_10.json,,
1_11,succeeded,1.0,1.0,1.0,0.9462,0,0,28866,3236,32102,0.01537203,31.046491,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_11.json,,
1_12,succeeded,1.0,1.0,1.0,0.8859,0,0,28736,3648,32384,0.01567392,33.630168,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_12.json,,
1_13,succeeded,1.0,1.0,1.0,0.8431,0,0,49611,3937,53548,0.02500598,35.989823,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_13.json,,
1_14,succeeded,1.0,1.0,1.0,0.8586,0,0,58343,4512,62855,0.02930465,41.972608,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_14.json,,
1_15,succeeded,1.0,1.0,1.0,0.9067,0,0,38574,3142,41716,0.01951323,30.489338,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_15.json,,
1_16,succeeded,0.7941,0.8438,0.75,0.9192,5,9,28399,6408,34807,0.01792852,50.305689,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_16.json,,
1_17,succeeded,1.0,1.0,1.0,0.9279,0,0,44233,5592,49825,0.02410639,49.199543,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_17.json,,
1_18,succeeded,1.0,1.0,1.0,0.8802,0,0,53278,7734,61012,0.02990451,77.494257,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_18.json,,
1_19,succeeded,1.0,1.0,1.0,0.8211,0,0,63966,13331,77297,0.03942318,117.759904,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_19.json,,
1_2,succeeded,1.0,1.0,1.0,0.944,0,0,35932,4298,40230,0.01936968,44.092384,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_2.json,,
1_3,succeeded,1.0,1.0,1.0,0.9314,0,0,41873,7260,49133,0.02453096,64.517231,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_3.json,,
1_4,succeeded,1.0,1.0,1.0,0.8035,0,0,23316,5017,28333,0.01450725,47.888894,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_4.json,,
1_5,succeeded,1.0,1.0,1.0,0.8091,0,0,28859,1770,30629,0.01409356,20.768033,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_5.json,,
1_6,succeeded,0.9298,0.9815,0.8833,0.8232,1,7,45510,5678,51188,0.02473671,96.375197,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_6.json,,
1_7,succeeded,1.0,1.0,1.0,0.9025,0,0,41934,4198,46132,0.02189355,45.30476,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_7.json,,
1_8,succeeded,1.0,1.0,1.0,0.8211,0,0,57099,7917,65016,0.03172586,71.569524,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/1/1_8.json,,
1_9,failed,,,,,,,19248,7186,26434,0.0146247,63.550236,,ValueError,DeepSeek returned invalid JSON content
