horizon,group,paper_id,attempt,max_chunks,validation_retries,exit_code,merged,error,started_at,completed_at,report_folder,log_file
long,1,1_9,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:50:04.500744+00:00,2026-07-22T18:52:30.314883+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/1/1_9/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/1/1_9/attempt_1.log
long,1,1_9,2,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T19:06:38.795838+00:00,2026-07-22T19:08:52.301477+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/1/1_9/attempt_2,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/1/1_9/attempt_2.log
long,1,1_9,3,8,3,0,True,,2026-07-22T19:13:35.772720+00:00,2026-07-22T19:15:01.763702+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/1/1_9/attempt_3,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/1/1_9/attempt_3.log
long,2,2_11,1,8,3,0,True,,2026-07-22T18:50:04.515148+00:00,2026-07-22T18:52:21.397444+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/2/2_11/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/2/2_11/attempt_1.log
long,2,2_19,1,8,3,0,True,,2026-07-22T18:50:04.501771+00:00,2026-07-22T18:51:14.380509+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/2/2_19/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/2/2_19/attempt_1.log
long,2,2_3,1,8,3,0,True,,2026-07-22T18:50:04.494030+00:00,2026-07-22T18:51:36.691736+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/2/2_3/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/2/2_3/attempt_1.log
long,2,2_8,1,8,3,0,True,,2026-07-22T18:50:04.516917+00:00,2026-07-22T18:57:06.002335+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/2/2_8/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/2/2_8/attempt_1.log
long,3,3_15,1,8,3,0,True,,2026-07-22T18:50:04.511833+00:00,2026-07-22T18:51:16.560971+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/3/3_15/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/3/3_15/attempt_1.log
long,3,3_20,1,8,3,0,True,,2026-07-22T18:50:04.469840+00:00,2026-07-22T18:53:11.745953+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/3/3_20/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/3/3_20/attempt_1.log
long,4,4_24,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:50:04.487634+00:00,2026-07-22T18:54:03.058853+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/4/4_24/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/4/4_24/attempt_1.log
