paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
1_1,succeeded,0.8525,1.0,0.7429,0.825,0,9,53002,4298,57300,0.01903834,50.476329,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_1.json,,
1_10,succeeded,0.84,1.0,0.7241,0.9236,0,16,43138,8871,52009,0.02140536,131.780103,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_10.json,,
1_11,succeeded,0.878,1.0,0.7826,0.9276,0,5,27317,2338,29655,0.00994739,17.859771,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_11.json,,
1_12,succeeded,0.9425,1.0,0.8913,0.899,0,5,28299,4932,33231,0.01306593,35.519874,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_12.json,,
1_13,succeeded,0.9032,1.0,0.8235,0.8431,0,6,48375,3912,52287,0.01736445,37.056489,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_13.json,,
1_15,succeeded,0.8136,1.0,0.6857,0.8121,0,11,55326,3409,58735,0.01868792,24.758127,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_15.json,,
1_16,succeeded,0.9153,1.0,0.8438,0.9324,0,10,47739,6538,54277,0.02008133,34.607824,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_16.json,,
1_17,succeeded,0.8519,1.0,0.7419,0.7799,0,8,26383,3554,29937,0.01103281,22.101295,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_17.json,,
1_18,succeeded,0.8667,1.0,0.7647,0.849,0,8,41345,3951,45296,0.01550925,25.919674,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_18.json,,
1_19,succeeded,0.7347,1.0,0.5806,0.4603,0,26,46038,5161,51199,0.01810736,32.402681,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_19.json,,
1_2,succeeded,0.9767,0.9767,0.9767,0.9578,1,1,36924,5847,42771,0.01640118,52.65826,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_2.json,,
1_20,succeeded,0.8148,1.0,0.6875,0.7923,0,10,37971,4579,42550,0.01528907,28.795414,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_20.json,,
1_3,succeeded,0.9176,1.0,0.8478,0.93,0,7,70737,7153,77890,0.02696729,53.69043,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_3.json,,
1_4,succeeded,0.8,1.0,0.6667,0.8189,0,9,20935,3197,24132,0.00916915,20.776334,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_4.json,,
1_5,succeeded,0.8837,1.0,0.7917,0.8923,0,5,29014,2245,31259,0.01030328,16.492318,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_5.json,,
1_6,succeeded,0.8333,0.8,0.8696,0.8734,5,3,42304,3207,45511,0.01494978,43.480435,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_6.json,,
1_7,succeeded,0.875,0.9545,0.8077,0.8202,1,5,39995,3168,43163,0.01428345,22.710569,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_7.json,,
1_8,succeeded,0.8485,1.0,0.7368,0.8144,0,5,81453,12171,93624,0.03538041,68.025153,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_8.json,,
1_9,succeeded,0.9286,0.975,0.8864,0.9283,1,5,25093,6091,31184,0.01347521,31.600368,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/long-group1-run-20260719T192803Z/packets/1_9.json,,
