paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
1_1,succeeded,0.9091,1.0,0.8333,0.9487,0,6,37150,5734,42884,0.0163379,56.298658,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/1_1.json,,
1_2,succeeded,0.9811,1.0,0.963,0.8927,0,1,33768,4470,38238,0.01403436,33.459987,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/1_2.json,,
1_3,succeeded,0.9367,1.0,0.881,0.8546,0,5,52449,4741,57190,0.01937633,33.841821,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/1_3.json,,
1_4,succeeded,0.9643,1.0,0.931,0.952,0,4,44493,9813,54306,0.02280741,61.088402,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/1_4.json,,
1_5,succeeded,0.9014,0.9697,0.8421,0.8975,1,6,47326,5615,52941,0.01895452,46.362859,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/1_5.json,,
1_6,succeeded,0.9545,1.0,0.913,0.8981,0,6,47398,7006,54404,0.02050406,63.850956,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/1_6.json,,
2_1,succeeded,0.8919,0.9706,0.825,0.9111,1,7,42113,5193,47306,0.01708281,41.992125,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/2_1.json,,
2_2,succeeded,0.9412,1.0,0.8889,0.962,0,4,29780,5065,34845,0.0136121,54.933481,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/2_2.json,,
2_3,succeeded,0.8539,1.0,0.7451,0.9398,0,13,42459,7272,49731,0.01946313,57.249089,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/2_3.json,,
2_4,succeeded,0.8936,1.0,0.8077,0.9079,0,10,52135,6133,58268,0.02082275,63.103447,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/2_4.json,,
2_5,succeeded,0.8644,0.9808,0.7727,0.9313,1,15,35598,6933,42531,0.01723776,66.160816,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/2_5.json,,
2_6,succeeded,0.9778,1.0,0.9565,0.765,0,1,48488,8747,57235,0.02271346,63.665913,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T185051Z/packets/2_6.json,,
