paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
1_1,failed,,,,,,,66429,11234,77663,0.03029323,64.529242,,ValueError,missed core item excerpt is not present in its source chunk
1_2,failed,,,,,,,60263,6254,66517,0.02315041,37.975407,,ValueError,missed core item excerpt is not present in its source chunk
1_3,failed,,,,,,,93368,5461,98829,0.03121646,36.306741,,ValueError,missed core item excerpt is not present in its source chunk
1_4,succeeded,0.9703,1.0,0.9423,0.952,0,3,43869,8483,52352,0.02117593,47.817386,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T183852Z/packets/1_4.json,,
1_5,failed,,,,,,,84467,9548,94015,0.03330889,57.181519,,ValueError,missed core item excerpt is not present in its source chunk
1_6,failed,,,,,,,84383,7259,91642,0.03076831,45.157977,,ValueError,missed core item excerpt is not present in its source chunk
2_1,succeeded,0.9091,1.0,0.8333,0.8301,0,4,39348,2730,42078,0.01362696,19.712836,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T183852Z/packets/2_1.json,,
2_2,failed,,,,,,,46665,5447,52112,0.01859125,147.646089,,ValueError,missed core item excerpt is not present in its source chunk
2_3,failed,,,,,,,69067,4408,73475,0.02349689,28.714577,,ValueError,missed core item excerpt is not present in its source chunk
2_4,failed,,,,,,,90671,5612,96283,0.03065437,52.980581,,ValueError,missed core item excerpt is not present in its source chunk
2_5,failed,,,,,,,59327,8155,67482,0.02498879,49.771269,,ValueError,missed core item excerpt is not present in its source chunk
2_6,failed,,,,,,,71346,10792,82138,0.03113462,68.642614,,ValueError,missed core item excerpt is not present in its source chunk
